mouse.time,mouse.clicked_name,num_distr
[1.2481111000015517],['TARGET'],10
[1.5859134000056656],['TARGET'],5
[1.2505116000029375],['TARGET'],5
[1.545401600000332],['TARGET'],10
[1.6720787000012933],['TARGET'],5
[1.4711635999992723],['TARGET'],5
[1.9451662999999826],['TARGET'],10
[1.8816513999991002],['TARGET'],5
[2.0382583000027807],['TARGET'],5
[1.4776836000019102],['TARGET'],10
[1.6041003999998793],['TARGET'],5
[1.5231018999984371],['TARGET'],5
[2.0548151999973925],['TARGET'],5
[1.2875708999999915],['TARGET'],5
[1.304338200003258],['TARGET'],5
[1.5724235000016051],['TARGET'],5
[1.5710650000037276],['TARGET'],5
[1.2215915999986464],['TARGET'],5
[1.5793341000025976],['TARGET'],10
[1.5302824000027613],['TARGET'],10
[1.1957820000025094],['TARGET'],10
[1.3974324999944656],['TARGET'],10
[1.6065761999998358],['TARGET'],10
[1.4255004999940866],['TARGET'],10
[1.823220099999162],['TARGET'],5
[1.9636712000065017],['TARGET'],10
[1.6578456999995979],['TARGET'],10
[1.3792878000022029],['TARGET'],10
[1.8615153999999166],['TARGET'],10
[1.1512193999951705],['TARGET'],5
[1.4044138999961433],['TARGET'],5
