trials_5.thisTrialN,trials_5.stepSize,trials_5.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,correctAns,tilt,key_resp.corr,trials_5.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
15,1,3.0,21.275424899999052,21.775021200010087,21.775021200010087,21.775021200010087,22.074448700004723,left,-3.0,1,1,0.36646799999289215,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
16,1,3.0,22.15789090000908,22.658799400000134,22.658799400000134,22.658799400000134,22.95754990002024,left,-3.0,1,1,0.4805783000192605,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
17,1,3.0,23.1583193000115,23.658915200008778,23.658915200008778,23.658915200008778,23.958617299998878,right,3.0,1,1,0.4645050000108313,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
18,1,2.0,24.141015100001823,24.64209470001515,24.64209470001515,24.64209470001515,24.94165600000997,left,-2.0,1,1,0.2970850999990944,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
19,1,2.0,24.958267000009073,25.458799400017597,25.458799400017597,25.458799400017597,25.75834970001597,right,2.0,1,1,0.41581399997812696,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
20,0.5,2.0,25.891106399998534,26.39026690000901,26.39026690000901,26.39026690000901,,right,2.0,0,0,0.1535540999902878,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
21,0.5,2.5,26.574324100016383,27.07484480002313,27.07484480002313,27.07484480002313,,left,-2.5,0,0,0.1726900000066962,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
22,0.5,3.0,27.274590400018496,27.758333800011314,27.758333800011314,27.775120400008745,28.058287499996368,left,-3.0,1,1,0.5505635000008624,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
23,0.5,3.0,28.32412160001695,28.82511480001267,28.82511480001267,28.82511480001267,29.124467200017534,right,3.0,1,1,0.3922032999980729,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
24,0.5,3.0,29.241262099996675,29.741389400005573,29.741389400005573,29.741389400005573,30.041832700022496,left,-3.0,1,1,0.3599809000152163,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
25,0.5,2.5,30.124712999997428,30.624636000022292,30.624636000022292,30.624636000022292,30.92446340000606,right,2.5,1,1,0.2703062999935355,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
26,0.5,2.5,30.92446340000606,31.424452400009613,31.424452400009613,31.424452400009613,31.724694100004854,left,-2.5,1,1,0.2747687000082806,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
